id,joke,category_human,category_llm
1,The best way to catch a Bear.. First you gotta dig a hole just big enough that the bear won't be able to climb it's way out. Then along the edges you put berries and other things bears eat and once you've done that you fill the hole in with ash. So once the bear comes up and starts to eat the berries you sneak behind him and kick him in the ash hole.,,None
2,What do you call a domineering pill bug? A controly-poly!,,None
3,What do you call someone whose filed bankruptcy 4 times and divorced twice? A GOP Presidential candidate. ,,Class/Occupation
4,"Some girl told me today I was odd, I can't even...",,None
5,"What did the pirate say on his eightieth birthday? Aye, Matey!",,Age-based
6,What do you call a woman who smuggles things inside her? A cuntainer.,,Gender-based
7,I searched dirty jokes in google to repost on r/jokes My face popped up as the first result.,,None
8,where's the only living gay Saudi Arabian? just over a stones throw away,,Sexual orientation; Racial/Ethnic
9,"I've heard all the Pro life vs Pro choice debates, and after hearing the debates, i came up with a compromise. I propose Pro Abortion, in which we abort everybody.",,None
10,My penis is only 4 inches... ...but I find most girls don't like it that wide.,,Gender-based
11,"Abdul writes to his son Ahmed ""Dear Ahmed,"" so goes the letter. ""I want to plant some vegetables in my garden so that we can have some home-grown food in the winter. But you know how bad my back is. Could you please come visit me and help me with it?""  The reply comes soon. ""Father, I am sorry but I am preoccupied with work, so I can't help. And I'm not sure we should be digging up your garden, because as I recall, my friend Amir hid *the thing* there.""  The very next day, security services show up at Abdul's home, check every nook and cranny, cause the old man quite a fright, but eventually, finding nothing, they leave. Abdul, distressed, writes back to Ahmed.  ""Dear Ahmed! A bunch of guys in black suits showed up today, trampled mud all over the house, and poked their nose into everything they could find! They left and let me go, but what was that all about?""  And the reply  ""Father; they dug up the garden too, haven't they? You can plant your vegetables now. Again, I am sorry I could not help otherwise, but I'll make it up to you with my potato salad that you like so much. Love, Ahmed.""",,Racial/Ethnic
12,"Give a man a jacket... And he'll be able to leave the house.  Teach a man to jacket, and he'll never leave the house.",,Gender-based
13,"If you’ve never tried blindfolded archery, let me tell you... You don’t know what you’re missing.",,None
14,"A young woman was rummaging through her grandmother’s belongings, and she came across a mysterious lamp. A young woman was rummaging through her grandmother’s belongings, and she came across a mysterious lamp. Upon rubbing the lamp, Rick Astley appeared before her and said, “I will give you three wishes.”   She thought for a moment and said, “For my first wish I would like to end world hunger.”  “An admirable request. Consider it granted!” Rick said.   “For my second wish, I would like world peace.” “Ah, this is a very difficult request, but it has been done. And for your final request?”   She thought for a moment and decided to make this a selfish wish. “As a movie buff, I would like a copy of every movie in the world in my own private collection.” The genie a bit taken back . . . . paused and said, “This I cannot do . . .”  “Why!?” The women exclaimed. “ You can fix world hunger and end all wars, but you cannot complete this simple task?!” The Genie looked away and said, “I can, but your collection will not be complete . . . you see . . . I’m never gunna give you Up!”",,None
15,"Racism is a lot like Nickelback... Its fun to joke about, but you never want to see it in person.",,None
16,Is it ok to be against a certain race? because I hate relays.,,None
17,What do you call a smiling Roman with a hair in his teeth? Gladiator.,,None
18,The restaurant Hooters is known for two things... ...boobs.,,Gender-based
19,"A Roman walks into a bar and holds up two fingers. ""Five beers, please.""",,None
20,"“Excuse me, sir, have you seen a police officer around?” “Excuse me, sir, have you seen a police officer around?” - “No, not a soul, actually.” - “Very good, now give me your wallet, watch and laptop!”",,Class/Occupation
21,Today I learned that the elevator was named after Darth Vader's little sister. Ele. Ele Vader.,,None
22,"I met a beautiful girl down at the park today. Sparks flew, she fell at my feet, and we ended up having sex right there and then.  I fucking love my new Taser.",,Gender-based
23,"A man has been having sex with his wife in the dark for 30 years and she just found out he's been using a dildo. Wife: ""Explain the dildo.""  Man: ""Then Explain the kids.""",,Gender-based
24,What do you call a pair of dancing Jews? A Jewet.,,Racial/Ethnic
25,There are two kinds of people in this world: (1) Those who can extrapolate from incomplete data.,,None
26,"What did the egg say to the boiling water?  ""I don't think I can get hard -- I just got laid this morning! ",,None
27,Russian computer: Please enter password Me: Beef_stew Russian computer: Password not stroganoff,,Racial/Ethnic
28,"Teacher/Student  **The teacher says:** Today, we're going to talk about the tenses. Now, if I say ""I am beautiful,"" which tense is it?    **The student says:** Obviously it's the past tense. ",,Gender-based
29,"The German Shepherd cover up... I  found my German Shepherd, Hondo, with the neighbor's pet rabbit in its  mouth. The rabbit was dead, and I panicked.. I took the dirty, chewed-up  rabbit into the house. I gave it  a bath, blew dried its fur, and put  it back into the cage at the neighbor's house, hoping they would think  it died of natural causes.  A few days later, the neighbor asked me, ""Don, did you hear that Fluffy died?""  I said, ""Um... no... what happened?""  The  neighbor replied, ""We found him dead in his cage one day, but the weird  thing is that the day after we buried him, someone had dug him up, gave  him a bath, and put him back into the cage. There are some real sick  people out there!""",,None
30,What's the most powerful country after USA ?    USB.,,None
31,"You’re calling from inside one of the cartels?? ""Yes, they wanted me to go with them""   -Are you kidnapped?   ""Actually…No. I’m grownapped""   -Have they hurt you in any way?   ""No. They just abduct-taped me""",,None
32,"A confused Chinese student asks his master, ""Master Shi, why do all Chinese look the same?"" Then the master replied, ""I am not master Shi.""",,Racial/Ethnic
33,I baked a dog shaped dough in a local baking competition It was pure-bread.,,None
34,"A boy brags to his friends that he just lost his virginity... A boy came running in a room full of his friends bragging about losing his virginity.  His friends asked him to sit down and tell them the whole story.  He replies ""I can't sit down, my ass hurts."" ",,Sexual orientation
35,"It Worked on the Other Side One night, a man and his wife were watching TV. It was about breast implants. The wife said, ”I wish I had bigger breast.”   The man said, ”You don’t have to get silicone breasts, just wipe between your breast with toilet paper.”   ""How would that work?"" asked the wife.   The man said, ""Well, you have been wiping your butt for 50 years and it's gotten bigger.""",,Gender-based
36,"A Guy takes his Friend to a bar A Guy takes his Friend to his favourite bar for the first time. They order a beer and someone shouts: ""7""! Everyone started laughing. The Friend is visibly confused so the Guy explains:   ""Oh, right, you see, we've always been telling the same jokes over and over so we gave each a number, now instead of the joke you say the number and everyone knows what you mean"".  To prove it he says ""24"" and he gets a few chuckles.  ""That was a knock knock joke"". The Friend decides to give it a try and says: ""57"". Everyone goes nuts, they all laugh like crazy. ""Was it this funny?"" he asks. Through tears the Guy says:  ""We haven't heard that one yet""",,None
37,I think I'm failing my marine biology class My grade is below C level. ,,None
38,Post your best Chuck Norris Facts ! Chuck Norris once one a game of connect four in three moves ! ,,None
39,"There was a knock in my door ""Who's there?""  ""Police""  ""Get out, I didn't call police, I called whores""  ""Your neighbors called us""  ""Let them fuck you then""",,Class/Occupation
40,"A man wants to jump off a bridge... (This joke is courtesy of Emo Philips)  I was walking across a bridge one day, and I saw a man standing on the edge, about to jump off. So I ran over and said ""Stop! Don't do it!""  ""Why shouldn't I?"" he said.   ""Well, there's so much to live for!""   ""Like what?""   ""Well... are you religious?""   He said yes.   I said, ""Me too! Are you Christian or Buddhist?""   ""Christian.""   ""Me too! Are you Catholic or Protestant?   ""Protestant.""  ""Me too! Are you Episcopalian or Baptist?""  ""Baptist""  ""Wow! Me too!  Are you Baptist Church of God or Baptist Church of the Lord?""  ""Baptist Church of God!""  ""Me too! Are you original Baptist Church of God, or are you reformed Baptist Church of God?""  ""Reformed Baptist Church of God!""  ""Me too! Are you Reformed Baptist Church of God, reformation of 1879, or Reformed Baptist Church of God, reformation of 1915?""  He said, ""Reformed Baptist Church of God, reformation of 1915!""   I said, ""Die, heretic scum"", and pushed him off.",,Religion-based
41,I make conversation like I play chess.... Plan 3 moves ahead then freak out when the other person doesn't do what I planned for.,,None
42,"Hey girl, are you a parked car in July? Because I want to leave a baby in you. ",,Gender-based
43,"a visit to the ob-gyn A sweet young thing had just finished getting her annual exam at her ObGyn's. As he was finishing up her paperwork he asked her i she had any questions. After a bit of of a pause, the embarrassed girl admitted to having one question. ""Can you get pregnant from anal sex?"" she asked. The doctor gave he a serious look and replied, ""of course you can, where do you think lawyers come from?"". ",,Class/Occupation
44,Head of lettuce...   Sounds like a boring job...,,None
45,"A man walks into a tattoo parlor... And asks for a $100 bill to be tattoed on his penis.  Curious, the tattoo artist asks him why he wanted a $100 bill tattoed on his penis.  The man replies, ""Three reasons-  * I want to play with my money  * I want to watch my money grow  * The only thing my wife blows nowadays is a 100 dollars""",,Gender-based
46,What do snails use to travel across tidal pools? Snailboats.,,None
47,What does a Christmas tree and a monk have in common? They both have ornamental balls ,,Religion-based
48,"Seaworld has borrowed a shark to try and make one of their own sharks pregnant...  Personally, I think I would have looked at other options before going to a loan shark...",,None
49,Why did the guitarist go to jail? He fingered a minor.,,Age-based
50,"Classic Family Guy Joke Peter: Brian, Look! There is a message in my Alphabet Cereal. it says, ""oooooo""  Brian: Peter! You are eating Cheerios.",,None
51,Did you hear the one about the corduroy pillow? It's making headlines across the nation!,,None
52,"Last year 52 Americans were shot by people who barely speak english, have no marketable skills, and are prone to angry outburst based on their views... ...toddlers are the worst.",,Racial/Ethnic
53,"Chung Hoi A famous American golfer is invited to go to China for a golfing tournament.  From the second he gets there, he is treated like a king.  He is given five-star treatment in a five-star hotel until the day of the tournament.  The night before the tournament, he is sitting in his hotel room watching TV.  A hot Asian girl walks up to his room and he says, ""Wow. They must really love me here.""  He begins to have sex with her the whole night. She continues to scream, ""Chung Hoi! Chung Hoi!,"" but he ignores it.  At the tournament, the American golfer gets a hole-in-one and gets really excited.  He starts yelling, ""Chung Hoi! Chung Hoi!""  One of the Chinese golfers says, ""What do you mean 'WRONG HOLE'?""",,Racial/Ethnic; Gender-based
54,"A guy’s driving down the highway one day...     ... when he sees a hitchhiker ahead. There’s hardly any traffic on the highway, and he figures that the poor guy will never get a ride, so he decides to help him out. After about 5 miles, the hitchhiker pulls a gun, and tells the driver that he won’t get hurt as long as he follows orders and doesn’t try anything stupid. The hitcher has the driver pull over and stop the car. “I just broke out of jail, and I need to get as far away from here as I can.” He makes the driver strip naked, ties his wrists to his ankles, and pushes him down a small ravine, just enough to waste some time getting back up. When the driver makes it to the side of the road, there’s no traffic. He’s so frustrated he’s about to cry. Then he sees a semi truck rolling down the road his way. Still tied up, he jumps up and down to be seen, and sure enough the truck pulls over. The trucker asks, “Well what happened to you?” The ex-driver says, “Some guy pulled a gun on me, tied me up like this and stole my car!” The trucker shakes his head as he starts to unzip his pants, smiles and says, “Son, it just ain’t your day, is it?”",,Sexual orientation
55,Why didn't Pluto organise his birthday party? He couldn't planet.,,None
56,"After a thorough research and survey scientists claim that the thicker your thighs, The more snacks you can lay on your lap.",,Appearance/Physical condition
57,I think I want to be a garbage man. I hear the industry is picking up!,,Class/Occupation
58,Who is the commander of cheese? Sargento,,None
59,"Why does the KKK wear all white? Because they hate black, people!!!",,Racial/Ethnic
60,Took my computer to a repair shop. He said here's your problem. Someone put peanutbutter in the hard drive.,,None
61,Why do Jewish men get circumcised? Because Jewish women won't touch anything unless it's 20% off,,Racial/Ethnic
62,My colleagues thought it would be good to each wear a shirt representing our star sign for our ‘make a wish foundation’ fundraiser Now I’m here wearing the word CANCER across my chest and feel a right knob ,,None
63,"Did you hear about the guy who plotted to severely scorch his friend by trying to burn him alive with one of his diplomas when the weather was as cold as the freezing point of water? At zero degree Celsius, he attempted first degree murder, using his second degree as kindling, resulting in third degree burns.",,None
64,I can't watch the Super Bowl this year. It's all a LI,,None
65,Why was Helen Keller a bad driver? She was a woman ,,Gender-based; Appearance/Physical condition
66,Best porn star name Queef Latina,,Racial/Ethnic; Gender-based
67,"A captain is giving orders to soldiers staying in line After finishing he asked if anyone had a question to ask.   One of the soldiers asks “I’m sorry Sir, but why do your boots have different colours, one black and one brown?”   Captain realizes that he really has two different boots and says that he will go home and change them, and that soldiers should wait here till he comes back  One hour passes, all soldiers are exhausted, and finally the captain appears, sad, and still wearing different boots  A soldier asks why didn’t he change the boots, why are you still wearing one black and one brown boot?   The captain replies, I couldn’t find a normal pair at home, the other two are also different ",,None
68,"How do you tell which clan a Scotsman is from? Peek up his kilt. If he's got a quarter-pounder, he's a McDonald.",,Racial/Ethnic
69,"A student at a management school came up to a pretty girl and hugged her without any warning.... The surprised girl said, “What was that?”  The guy smiled at her, “Direct marketing!”  The girl slapped him soundly.  “What was that?!” said the boy, holding his cheek.  “Customer feedback.”",,Gender-based
70,"A chicken and an egg are lying in bed after sex. The chicken leans back, takes a drag on the cigarette and says ""well that answers that old question....""",,None
71,Did you hear about the guy who lost his shovel? His name was Douglas,,None
72,What's a moths favourite band? Mothley crue,,None
73,"Teenage gamer tosses a piss jug into my yard Me- I know that was your piss jug  Teenage Gamer- what?  Me- This is my yard, those are my trees, that is my lawn, can you guess who can piss in my yard?  Teenage Gamer- you?  Me- No...My dog...ya little shit",,None
74,Worst case of cultural appropriation. Today I saw the worst case of cultural appropriation ever. A white man knelt down and committed seppuku. What a dick. Hope he dies. ,,Racial/Ethnic
75,"A mother complained to her consultant about her daughter’s strange eating habits. –“All day long she lies in bed and eats yeast and car wax. What will happen to her?”  –“Eventually,” said the consultant, “she will rise and shine.”",,None
76,"[NSFW] Cure for anxiety Sex is very therapeutic  If you lay me, you get laid back",,Gender-based
77,A place where stalkers meet and share their stalking stories.. The Stalk Exchange.,,None
78,"The Ladies Department A man walked into the ladies department of a Macy's, one of  the largest department store chains.   He shyly walked up to the woman behind the  counter and said, ""I'd like to buy a bra for my wife.""  ""What type of bra?""  asked the clerk.  ""Type?"" inquires the man ""There is more than one  type?""  ""Look Around,"" said the saleslady, as she showed a sea of bras in every shape, size color and material.  ""Actually, even with all of this  variety, there are really only three types of bras,"" replied the salesclerk.  Confused, the man asked what were the types.  The saleslady replied ""The  Catholic type, the, Salvation Army type, and the Baptist type. Which one do you  need?""  Still confused the man asked, ""What is the difference between  them?""  The lady responded ""It is all really quite simple. The Catholic type supports the masses, the Salvation Army type lifts up the fallen, and the Baptist type makes mountains out of mole hills."" ",,Religion-based; Gender-based
79,"Me: Wow! You dimmed the light within 5 minutes. Aren’t you romantic? Optometrist: Sit, please read the letters on the screen.",,None
80,Why did Minotaur win an interior design award? Because his home was a maze thing.,,None
81,"My dad was walking around the house screaming yesterday.... He kept shouting, ""A, E, I, O, U"".  ""What's wrong?"", I asked him.  To which he responded, ""Nothing, I just have irritable vowel syndrome...""",,None
82,"How do you fit an elephant in to a subway? Take the 's' out of ""sub"" and the 'f' out of ""way""",,None
83,Why aren't any atheists buying a PS4 Pro? They don't believe in higher power.,,Religion-based
84,"Final arrangements... A woman from New York was getting her affairs in order. She wrote her will and made her final arrangements. As part of these arrangements she met with her rabbi to talk about what type of funeral service she wanted. She told her rabbi she had two final requests.  First, she wanted to be cremated, and second, she wanted her ashes scattered over Bloomindgales.  ""Bloomingdales!"" the rabbi said. ""Why Bloomingdales?""  ""That way, I am guaranteed to have my daughters visit me at least twice a week."" ",,Racial/Ethnic
85,I've just found an origami porn channel! But it's paper view only  :(,,None
86,"TIFU by handing a pulled pork sandwich to my Muslim friend. drat, wrong sub!",,Religion-based
87,The past few days summed up Pepsi: We just pulled the worst PR stunt of the year. United Airlines: Hold my beer. Sean Spicer: LEEEEEEEEEEROY JEEENKINS.,,None
88,What do you call a moile in the Harry Potter wizarding world? Professor Snip,,None
89,My descent into the cannibalistic devouring of a South African Bishop Call 00 8 22...,,Racial/Ethnic
90,"An blobfish walks into 1 bar. The bartender asks, ""Why the saggy face?""  It became sad, so it decided to go to another bar. The blobfish is asked ""Why the saggy face?"" again, so it decides to go to another bar. However, the blobfish slowly began to return to normal. When he had already visited 15 bars, he was back to normal.  -----  **^Note:** ^bar ^as ^in ^atmospheric ^pressure",,None
91,C sections. They really take it out of you.,,None
92,What happens when you go inside in a snow suit? It melts.,,None
93,What do you call a woman that makes more money than her husband? A widow.,,Gender-based
94,"A bear walks up to a rabbit and asks ""Do you have a problem with shit getting stuck in your fur?"" Asks BEAR.   The rabbit looked taken back, ""Uhh, No""   So the bear wiped his ass on the rabbit. ",,None
95,What do my existence and an unsharpened pencil have in common? They're both dull and pointless.,,None
96,"I went to the cinema to see a really, really sad film. The guy behind me was just wailing.  Half way through, a harpoon hit the back of my head. ",,None
97,"The Billy saga continues... Mrs. Teacher is upset at being out-foxed by lil' Billy. So she decides to get even.  Next week she tells the kids to study reallllly hard, because she will ask a question on Friday, that if one of them can answer it, he/she will get to have next Monday absence.  So they study real hard. Come Friday, the teacher says ""All right class, here's my question. How many gallons of water are in the ocean?"" As the kids have no answer, they disappointedly trudge home to do the weekend homework.  Next week the teacher tells them the same thing. ""Study reallllly hard, and if you answer my question you get Monday absence."" So the class studies hard. Come Friday, the teacher asks ""All right class, here's my question. How many blades of grass are on the earth?"" Once again, the kids trudge home disappointed.   This time, Billy grabs a bag of ping pong balls, spray paints them all black, puts the bag in his backpack and bides his time for next week.  Same thing next week. Come Friday, the class waits on the teacher. She says ""All right class, here's my question..."" And BAM! Billy bursts his bag of ping pong balls and the fly everywhere! One hits the teacher in the face! She grabs it, looks at it and asks ""OK, who is the one with the crazy black balls??""  Billy jumps up and answers ""Eddie Murphy, teacher! I'll see you Tuesday!""  ",,Racial/Ethnic
98,"How many flies does it take to screw in a lightbulb? Two, but how’d they get in there?",,None
99,Dirty jokes is like water... It’s not always clean.,,None
100,I love pteradons They're my favorite dinosoars.,,None
